,quantity
2012-06-02,7083.0
2012-06-03,3468.0
2012-06-04,4451.0
2012-06-05,4534.0
2012-06-06,5901.0
2012-06-07,6147.0
2012-06-08,7312.0
2012-06-09,8060.0
2012-06-10,4168.0
2012-06-11,4759.0
2012-06-12,5461.0
2012-06-13,5108.0
2012-06-14,6890.0
2012-06-15,8862.0
2012-06-16,10689.0
2012-06-17,5842.0
2012-06-18,3645.0
2012-06-19,4722.0
2012-06-20,5415.0
2012-06-21,7025.0
2012-06-22,9367.0
2012-06-23,8988.0
2012-06-24,4405.0
2012-06-25,4873.0
2012-06-26,5085.0
2012-06-27,5735.0
2012-06-28,7779.0
2012-06-29,9952.0
2012-06-30,9642.0
2012-07-01,4726.0
2012-07-02,4931.0
2012-07-03,5067.0
2012-07-04,5396.0
2012-07-05,7748.0
2012-07-06,10488.0
2012-07-07,9920.0
2012-07-08,4459.0
2012-07-09,4057.0
2012-07-10,3257.0
2012-07-11,5280.0
2012-07-12,6958.0
2012-07-13,9775.0
2012-07-14,9173.0
2012-07-15,4642.0
2012-07-16,5560.0
2012-07-17,5738.0
2012-07-18,6985.0
2012-07-19,8498.0
2012-07-20,10419.0
2012-07-21,8897.0
2012-07-22,4001.0
2012-07-23,4348.0
2012-07-24,4259.0
2012-07-25,5648.0
2012-07-26,7569.0
2012-07-27,9610.0
2012-07-28,9391.0
2012-07-29,4605.0
2012-07-30,5098.0
2012-07-31,5226.0
2012-08-01,5640.0
2012-08-02,7512.0
2012-08-03,9637.0
2012-08-04,8814.0
2012-08-05,4530.0
2012-08-06,4925.0
2012-08-07,5127.0
2012-08-08,5480.0
2012-08-09,7349.0
2012-08-10,10042.0
2012-08-11,9242.0
2012-08-12,4653.0
2012-08-13,4966.0
2012-08-14,5173.0
2012-08-15,5816.0
2012-08-16,7823.0
2012-08-17,9605.0
2012-08-18,8957.0
2012-08-19,5043.0
2012-08-20,4956.0
2012-08-21,4764.0
2012-08-22,4878.0
2012-08-23,6406.0
2012-08-24,7802.0
2012-08-25,8961.0
2012-08-26,6011.0
2012-08-27,6585.0
2012-08-28,6449.0
2012-08-29,5796.0
2012-08-30,7602.0
2012-08-31,9531.0
2012-09-01,10209.0
2012-09-02,5297.0
2012-09-03,5705.0
2012-09-04,5466.0
2012-09-05,6195.0
2012-09-06,8571.0
2012-09-07,10820.0
2012-09-08,10638.0
2012-09-09,5420.0
2012-09-10,5757.0
2012-09-11,5990.0
2012-09-12,6344.0
2012-09-13,8305.0
2012-09-14,10986.0
2012-09-15,10634.0
2012-09-16,5705.0
2012-09-17,5557.0
2012-09-18,5616.0
2012-09-19,6094.0
2012-09-20,7935.0
2012-09-21,11003.0
2012-09-22,11220.0
2012-09-23,5582.0
2012-09-24,5378.0
2012-09-25,5580.0
2012-09-26,6410.0
2012-09-27,8074.0
2012-09-28,11355.0
2012-09-29,10768.0
2012-09-30,5963.0
2012-10-01,5747.0
2012-10-02,5524.0
2012-10-03,6419.0
2012-10-04,8130.0
2012-10-05,11109.0
2012-10-06,11066.0
2012-10-07,5984.0
2012-10-08,5414.0
2012-10-09,5644.0
2012-10-10,6537.0
2012-10-11,8617.0
2012-10-12,11604.0
2012-10-13,11789.0
2012-10-14,6125.0
2012-10-15,5567.0
2012-10-16,5731.0
2012-10-17,6173.0
2012-10-18,8222.0
2012-10-19,11059.0
2012-10-20,11531.0
2012-10-21,5905.0
2012-10-22,5653.0
2012-10-23,5750.0
2012-10-24,6472.0
2012-10-25,8586.0
2012-10-26,11512.0
2012-10-27,10787.0
2012-10-28,6050.0
2012-10-29,6077.0
2012-10-30,5906.0
2012-10-31,6842.0
2012-11-01,8372.0
2012-11-02,10871.0
2012-11-03,10788.0
2012-11-04,5489.0
2012-11-05,5495.0
2012-11-06,5724.0
2012-11-07,7994.0
2012-11-08,10259.0
2012-11-09,14124.0
2012-11-10,14723.0
2012-11-11,7700.0
2012-11-12,5838.0
2012-11-13,6738.0
2012-11-14,7278.0
2012-11-15,9606.0
2012-11-16,13706.0
2012-11-17,13630.0
2012-11-18,6751.0
2012-11-19,6456.0
2012-11-20,6401.0
2012-11-21,6884.0
